# file...... TotalPower_solar_panel_load.csv
# date...... Fri Aug  7 12:49:50 2020
# user...... mukh915
# host...... (null)
# target.... solar 2
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,P_Out
2017-01-18 00:00:00 PST,+0+0j
2017-01-18 00:10:00 PST,+0+0j
2017-01-18 00:20:00 PST,+0+0j
2017-01-18 00:30:00 PST,+0+0j
2017-01-18 00:40:00 PST,+0+0j
2017-01-18 00:50:00 PST,+0+0j
2017-01-18 01:00:00 PST,+0+0j
2017-01-18 01:10:00 PST,+0+0j
2017-01-18 01:20:00 PST,+0+0j
2017-01-18 01:30:00 PST,+0+0j
2017-01-18 01:40:00 PST,+0+0j
2017-01-18 01:50:00 PST,+0+0j
2017-01-18 02:00:00 PST,+0+0j
2017-01-18 02:10:00 PST,+0+0j
2017-01-18 02:20:00 PST,+0+0j
2017-01-18 02:30:00 PST,+0+0j
2017-01-18 02:40:00 PST,+0+0j
2017-01-18 02:50:00 PST,+0+0j
2017-01-18 03:00:00 PST,+0+0j
2017-01-18 03:10:00 PST,+0+0j
2017-01-18 03:20:00 PST,+0+0j
2017-01-18 03:30:00 PST,+0+0j
2017-01-18 03:40:00 PST,+0+0j
2017-01-18 03:50:00 PST,+0+0j
2017-01-18 04:00:00 PST,+0+0j
2017-01-18 04:10:00 PST,+0+0j
2017-01-18 04:20:00 PST,+0+0j
2017-01-18 04:30:00 PST,+0+0j
2017-01-18 04:40:00 PST,+0+0j
2017-01-18 04:50:00 PST,+0+0j
2017-01-18 05:00:00 PST,+0+0j
2017-01-18 05:10:00 PST,+0+0j
2017-01-18 05:20:00 PST,+0+0j
2017-01-18 05:30:00 PST,+0+0j
2017-01-18 05:40:00 PST,+0+0j
2017-01-18 05:50:00 PST,+0+0j
2017-01-18 06:00:00 PST,+0+0j
2017-01-18 06:10:00 PST,+0+0j
2017-01-18 06:20:00 PST,+0+0j
2017-01-18 06:30:00 PST,+0+0j
2017-01-18 06:40:00 PST,+0+0j
2017-01-18 06:50:00 PST,+0+0j
2017-01-18 07:00:00 PST,+0+0j
2017-01-18 07:10:00 PST,+567.519+0j
2017-01-18 07:20:00 PST,+1030.76+0j
2017-01-18 07:30:00 PST,+1390.3+0j
2017-01-18 07:40:00 PST,+1646.59+0j
2017-01-18 07:50:00 PST,+1799.97+0j
2017-01-18 08:00:00 PST,+1850.69+0j
2017-01-18 08:10:00 PST,+1626.12+0j
2017-01-18 08:20:00 PST,+1490.81+0j
2017-01-18 08:30:00 PST,+1445.41+0j
2017-01-18 08:40:00 PST,+1489.73+0j
2017-01-18 08:50:00 PST,+1623.52+0j
2017-01-18 09:00:00 PST,+1846.45+0j
2017-01-18 09:10:00 PST,+2667.06+0j
2017-01-18 09:20:00 PST,+3371.06+0j
2017-01-18 09:30:00 PST,+3958.71+0j
2017-01-18 09:40:00 PST,+4430.87+0j
2017-01-18 09:50:00 PST,+4788.25+0j
2017-01-18 10:00:00 PST,+5031.44+0j
2017-01-18 10:10:00 PST,+4757.61+0j
2017-01-18 10:20:00 PST,+4530.37+0j
2017-01-18 10:30:00 PST,+4351.88+0j
2017-01-18 10:40:00 PST,+4222.09+0j
2017-01-18 10:50:00 PST,+4140.93+0j
2017-01-18 11:00:00 PST,+4108.34+0j
