E,H,C,timestamp
1.429934326,2.845630811,0.039286804,12/03/2016 02:45:00
1.40287065,2.839033349,0.039289481,12/03/2016 03:00:00
1.398334878,2.8644819,0.039292158,12/03/2016 03:15:00
1.434129116,2.889930452,0.039294835,12/03/2016 03:30:00
1.429791407,2.915379003,0.039297512,12/03/2016 03:45:00
1.424939643,2.940827554,0.039300189,12/03/2016 04:00:00
1.415249723,3.058909855,0.039302866,12/03/2016 04:15:00
1.43519258,3.176992154,0.039305543,12/03/2016 04:30:00
1.435646158,3.295074453,0.03930822,12/03/2016 04:45:00
1.437762851,3.413156753,0.039310897,12/03/2016 05:00:00
1.431866348,3.701630608,0.039313574,12/03/2016 05:15:00
1.434739003,3.990104462,0.039316251,12/03/2016 05:30:00
1.430808001,4.278578319,0.039318928,12/03/2016 05:45:00
1.433983041,4.567052174,0.039321605,12/03/2016 06:00:00
1.437762851,4.681816174,0.039324282,12/03/2016 06:15:00
1.439728352,4.796580177,0.039326959,12/03/2016 06:30:00
1.430505616,4.911344177,0.039329636,12/03/2016 06:45:00
1.438821198,5.026108178,0.039332313,12/03/2016 07:00:00
1.433983041,4.913350768,0.03933499,12/03/2016 07:15:00
1.437006889,4.80059336,0.039337667,12/03/2016 07:30:00
1.433378272,4.687835951,0.039340344,12/03/2016 07:45:00
1.433529464,4.575078542,0.039343021,12/03/2016 08:00:00
1.448172447,4.383758108,0.039345698,12/03/2016 08:15:00
1.409529267,4.192437674,0.039348375,12/03/2016 08:30:00
1.370886087,4.001117238,0.039351052,12/03/2016 08:45:00
1.369114112,3.809796804,0.039353729,12/03/2016 09:00:00
1.376082569,3.613224737,0.039356406,12/03/2016 09:15:00
1.423768144,3.416652668,0.039359083,12/03/2016 09:30:00
1.395914242,3.220080602,0.03936176,12/03/2016 09:45:00
1.368060341,3.023508535,0.039364437,12/03/2016 10:00:00
1.340206439,3.030506547,0.039367114,12/03/2016 10:15:00
1.352177248,3.037504559,0.039369791,12/03/2016 10:30:00
1.356008463,3.04450257,0.039372468,12/03/2016 10:45:00
1.360683936,3.051500582,0.039375145,12/03/2016 11:00:00
1.362711123,3.101101495,0.039377822,12/03/2016 11:15:00
1.30288341,3.150702407,0.039380499,12/03/2016 11:30:00
1.320829341,3.20030332,0.039383176,12/03/2016 11:45:00
1.344241619,3.249904233,0.039385853,12/03/2016 12:00:00
1.362619545,3.193715676,0.03938853,12/03/2016 12:15:00
1.37652623,3.137527119,0.039391207,12/03/2016 12:30:00
1.41137696,3.081338562,0.039393884,12/03/2016 12:45:00
1.446227688,3.025150005,0.039396561,12/03/2016 13:00:00
1.481078417,2.962361171,0.039399238,12/03/2016 13:15:00
1.515929147,2.899572337,0.039401915,12/03/2016 13:30:00
1.550779875,2.836783503,0.039404592,12/03/2016 13:45:00
1.585630604,2.773994668,0.039407269,12/03/2016 14:00:00
1.619553786,2.824492663,0.039409946,12/03/2016 14:15:00
1.653476967,2.874990658,0.039412623,12/03/2016 14:30:00
1.687400149,2.925488654,0.0394153,12/03/2016 14:45:00
1.688031528,2.975986648,0.039417977,12/03/2016 15:00:00
1.688662907,3.020983165,0.039420654,12/03/2016 15:15:00
1.689294287,3.065979682,0.039423331,12/03/2016 15:30:00
1.675881838,3.110976199,0.039426008,12/03/2016 15:45:00
1.662469389,3.155972715,0.039428685,12/03/2016 16:00:00
1.673491089,3.183288621,0.039431362,12/03/2016 16:15:00
1.676388458,3.210604526,0.039434039,12/03/2016 16:30:00
1.679285826,3.237920431,0.039436716,12/03/2016 16:45:00
1.682183195,3.265236336,0.039439393,12/03/2016 17:00:00
1.664114759,3.313951907,0.03944207,12/03/2016 17:15:00
1.653237922,3.362667477,0.039444747,12/03/2016 17:30:00
1.646228728,3.411383049,0.039447424,12/03/2016 17:45:00
1.651085165,3.460098619,0.039450101,12/03/2016 18:00:00
1.651560738,3.47547178,0.039452778,12/03/2016 18:15:00
1.628153644,3.490844941,0.039455455,12/03/2016 18:30:00
1.609623155,3.506218102,0.039458132,12/03/2016 18:45:00
1.607960412,3.521591263,0.039460809,12/03/2016 19:00:00
1.606290891,3.5020043,0.039463486,12/03/2016 19:15:00
1.604342653,3.482417337,0.039466163,12/03/2016 19:30:00
1.599657121,3.462830375,0.03946884,12/03/2016 19:45:00
1.60733283,3.443243411,0.039471517,12/03/2016 20:00:00
1.570700172,3.436432698,0.039474194,12/03/2016 20:15:00
1.534067515,3.429621985,0.039476871,12/03/2016 20:30:00
1.569673322,3.422811271,0.039479548,12/03/2016 20:45:00
1.575796615,3.416000558,0.039482225,12/03/2016 21:00:00
1.626924711,3.242145837,0.039484902,12/03/2016 21:15:00
1.678052808,3.068291113,0.039487579,12/03/2016 21:30:00
1.687473795,2.894436392,0.039490256,12/03/2016 21:45:00
1.685357102,2.72058167,0.039492933,12/03/2016 22:00:00
1.674242354,2.684140392,0.03949561,12/03/2016 22:15:00
1.676812625,2.647699114,0.039498287,12/03/2016 22:30:00
1.674620335,2.611257837,0.039500964,12/03/2016 22:45:00
1.680214454,2.574816558,0.039503641,12/03/2016 23:00:00
1.610344075,2.595300604,0.039506318,12/03/2016 23:15:00
1.616316174,2.615784649,0.039508995,12/03/2016 23:30:00
1.608756555,2.636268694,0.039511672,12/03/2016 23:45:00
1.608983343,2.65675274,0.039514349,12/04/2016 00:00:00
1.60845417,2.680917185,0.039517026,12/04/2016 00:15:00
1.655021425,2.70508163,0.039519703,12/04/2016 00:30:00
1.6115457,2.729246075,0.03952238,12/04/2016 00:45:00
1.568069976,2.75341052,0.039525057,12/04/2016 01:00:00
1.524594251,2.797736731,0.039527734,12/04/2016 01:15:00
1.481118526,2.842062942,0.039530411,12/04/2016 01:30:00
1.437642802,2.886389152,0.039533088,12/04/2016 01:45:00
1.394167077,2.930715363,0.039535765,12/04/2016 02:00:00
1.350691352,2.999787001,0.039538442,12/04/2016 02:15:00
1.307215628,3.068858639,0.039541119,12/04/2016 02:30:00
1.263739903,3.137930278,0.039543796,12/04/2016 02:45:00
1.256936245,3.207001915,0.039546473,12/04/2016 03:00:00
1.259808901,3.284369128,0.03954915,12/04/2016 03:15:00
1.263739903,3.361736342,0.039551827,12/04/2016 03:30:00
1.293606453,3.439103554,0.039554504,12/04/2016 03:45:00
1.300863688,3.516470767,0.039557181,12/04/2016 04:00:00
1.398519469,3.456100814,0.039559858,12/04/2016 04:15:00
1.496175249,3.395730862,0.039562535,12/04/2016 04:30:00
1.311901068,3.33536091,0.039565212,12/04/2016 04:45:00
1.313412991,3.274990958,0.039567889,12/04/2016 05:00:00
1.317343994,3.617516602,0.039570566,12/04/2016 05:15:00
1.338885669,3.960042245,0.039573243,12/04/2016 05:30:00
1.376052033,4.302567893,0.03957592,12/04/2016 05:45:00
1.326791615,4.645093537,0.039578597,12/04/2016 06:00:00
1.321953458,4.836747785,0.039581274,12/04/2016 06:15:00
1.280736127,5.028402035,0.039583951,12/04/2016 06:30:00
1.239518796,5.220056283,0.039586628,12/04/2016 06:45:00
1.198301465,5.411710531,0.039589305,12/04/2016 07:00:00
1.181537791,5.161916539,0.039591982,12/04/2016 07:15:00
1.170561216,4.91212255,0.039594659,12/04/2016 07:30:00
1.169805254,4.662328561,0.039597336,12/04/2016 07:45:00
1.119494757,4.412534569,0.039600013,12/04/2016 08:00:00
1.180934428,4.229193198,0.03960269,12/04/2016 08:15:00
1.178435645,4.045851827,0.039605367,12/04/2016 08:30:00
1.190044743,3.862510453,0.039608044,12/04/2016 08:45:00
