E,H,C,timestamp
75.45286795,150.1544525,2.07303371,12/03/2016 02:45:00
74.02480796,149.8063264,2.073174966,12/03/2016 03:00:00
73.78547042,151.1491616,2.073316222,12/03/2016 03:15:00
75.67421304,152.4919968,2.073457478,12/03/2016 03:30:00
75.44532656,153.8348321,2.073598734,12/03/2016 03:45:00
75.18931516,155.1776673,2.07373999,12/03/2016 04:00:00
74.67801037,161.4084767,2.073881246,12/03/2016 04:15:00
75.73032849,167.639286,2.074022502,12/03/2016 04:30:00
75.75426225,173.8700953,2.074163758,12/03/2016 04:45:00
75.86595311,180.1009047,2.074305015,12/03/2016 05:00:00
75.55481429,195.3227084,2.074446271,12/03/2016 05:15:00
75.70639474,210.5445121,2.074587527,12/03/2016 05:30:00
75.49896886,225.766316,2.074728783,12/03/2016 05:45:00
75.66650515,240.9881197,2.074870039,12/03/2016 06:00:00
75.86595311,247.0438335,2.075011295,12/03/2016 06:15:00
75.96966605,253.0995473,2.075152551,12/03/2016 06:30:00
75.48301303,259.1552611,2.075293807,12/03/2016 06:45:00
75.92179854,265.2109749,2.075435063,12/03/2016 07:00:00
75.66650515,259.2611422,2.075576319,12/03/2016 07:15:00
75.82606351,253.3113096,2.075717575,12/03/2016 07:30:00
75.63459347,247.361477,2.075858831,12/03/2016 07:45:00
75.64257139,241.4116444,2.076000088,12/03/2016 08:00:00
76.41523276,231.3163028,2.076141344,12/03/2016 08:15:00
74.37616098,221.2209613,2.0762826,12/03/2016 08:30:00
72.33708917,211.1256196,2.076423856,12/03/2016 08:45:00
72.24358797,201.030278,2.076565112,12/03/2016 09:00:00
72.61129022,190.6578253,2.076706368,12/03/2016 09:15:00
75.12749905,180.2853725,2.076847624,12/03/2016 09:30:00
73.6577415,169.9129198,2.07698888,12/03/2016 09:45:00
72.18798398,159.540467,2.077130136,12/03/2016 10:00:00
70.71822645,159.9097288,2.077271392,12/03/2016 10:15:00
71.34988611,160.2789905,2.077412648,12/03/2016 10:30:00
71.55204656,160.6482523,2.077553904,12/03/2016 10:45:00
71.79875571,161.0175141,2.07769516,12/03/2016 11:00:00
71.9057236,163.6347889,2.077836417,12/03/2016 11:15:00
68.74881458,166.2520637,2.077977673,12/03/2016 11:30:00
69.69576158,168.8693385,2.078118929,12/03/2016 11:45:00
70.93114944,171.4866133,2.078260185,12/03/2016 12:00:00
71.90089132,168.5217305,2.078401441,12/03/2016 12:15:00
72.63470074,165.5568476,2.078542697,12/03/2016 12:30:00
74.47365756,162.5919648,2.078683953,12/03/2016 12:45:00
76.31261434,159.6270819,2.078825209,12/03/2016 13:00:00
78.15157114,156.3139244,2.078966465,12/03/2016 13:15:00
79.99052797,153.000767,2.079107721,12/03/2016 13:30:00
81.82948475,149.6876095,2.079248977,12/03/2016 13:45:00
83.66844155,146.374452,2.079390233,12/03/2016 14:00:00
85.45845478,149.0390629,2.079531489,12/03/2016 14:15:00
87.24846797,151.7036737,2.079672746,12/03/2016 14:30:00
89.03848118,154.3682846,2.079814002,12/03/2016 14:45:00
89.07179696,157.0328955,2.079955258,12/03/2016 15:00:00
89.10511275,159.4072117,2.080096514,12/03/2016 15:15:00
89.13842854,161.7815279,2.08023777,12/03/2016 15:30:00
88.43069832,164.1558441,2.080379026,12/03/2016 15:45:00
87.72296811,166.5301603,2.080520282,12/03/2016 16:00:00
88.30454647,167.9715295,2.080661538,12/03/2016 16:15:00
88.45743095,169.4128988,2.080802794,12/03/2016 16:30:00
88.61031543,170.8542681,2.08094405,12/03/2016 16:45:00
88.76319991,172.2956373,2.081085306,12/03/2016 17:00:00
87.8097888,174.8661956,2.081226562,12/03/2016 17:15:00
87.23585436,177.4367539,2.081367819,12/03/2016 17:30:00
86.86600256,180.0073122,2.081509075,12/03/2016 17:45:00
87.12226052,182.5778705,2.081650331,12/03/2016 18:00:00
87.14735494,183.3890609,2.081791587,12/03/2016 18:15:00
85.91224061,184.2002514,2.081932843,12/03/2016 18:30:00
84.93444845,185.0114419,2.082074099,12/03/2016 18:45:00
84.84671106,185.8226323,2.082215355,12/03/2016 19:00:00
84.75861602,184.7890936,2.082356611,12/03/2016 19:15:00
84.65581399,183.7555548,2.082497867,12/03/2016 19:30:00
84.4085741,182.7220161,2.082639123,12/03/2016 19:45:00
84.81359567,181.6884773,2.082780379,12/03/2016 20:00:00
82.88061241,181.3290987,2.082921635,12/03/2016 20:15:00
80.9476292,180.9697201,2.083062891,12/03/2016 20:30:00
82.82642897,180.6103414,2.083204148,12/03/2016 20:45:00
83.14953469,180.2509628,2.083345404,12/03/2016 21:00:00
