E,H,C,timestamp
153.2508282,304.9757395,4.210497779,12/03/2016 02:45:00
150.3503238,304.2686675,4.210784681,12/03/2016 03:00:00
149.86421,306.9960735,4.211071584,12/03/2016 03:15:00
153.7003978,309.7234796,4.211358486,12/03/2016 03:30:00
153.235511,312.4508857,4.211645389,12/03/2016 03:45:00
152.7155313,315.1782917,4.211932291,12/03/2016 04:00:00
151.6770303,327.8335655,4.212219193,12/03/2016 04:15:00
153.8143728,340.4888391,4.212506096,12/03/2016 04:30:00
153.8629842,353.1441127,4.212792998,12/03/2016 04:45:00
154.0898373,365.7993864,4.213079901,12/03/2016 05:00:00
153.4578894,396.716091,4.213366803,12/03/2016 05:15:00
153.7657614,427.6327955,4.213653706,12/03/2016 05:30:00
153.3444628,458.5495004,4.213940608,12/03/2016 05:45:00
153.6847425,489.466205,4.21422751,12/03/2016 06:00:00
154.0898373,501.7658455,4.214514413,12/03/2016 06:15:00
154.3004866,514.0654861,4.214801315,12/03/2016 06:30:00
153.3120553,526.3651266,4.215088218,12/03/2016 06:45:00
154.2032638,538.6647671,4.21537512,12/03/2016 07:00:00
153.6847425,526.5801797,4.215662023,12/03/2016 07:15:00
154.0088183,514.4955924,4.215948925,12/03/2016 07:30:00
153.6199273,502.411005,4.216235827,12/03/2016 07:45:00
153.6361311,490.3264176,4.21652273,12/03/2016 08:00:00
155.2054683,469.8219689,4.216809632,12/03/2016 08:15:00
151.06395,449.3175203,4.217096535,12/03/2016 08:30:00
146.9224315,428.8130714,4.217383437,12/03/2016 08:45:00
146.7325231,408.3086228,4.21767034,12/03/2016 09:00:00
147.4793559,387.2413392,4.217957242,12/03/2016 09:15:00
152.5899779,366.1740553,4.218244144,12/03/2016 09:30:00
149.6047824,345.1067717,4.218531047,12/03/2016 09:45:00
146.6195869,324.0394881,4.218817949,12/03/2016 10:00:00
143.6343915,324.7894883,4.219104852,12/03/2016 10:15:00
144.9173429,325.5394886,4.219391754,12/03/2016 10:30:00
145.327947,326.2894888,4.219678657,12/03/2016 10:45:00
145.8290331,327.0394891,4.219965559,12/03/2016 11:00:00
146.0462934,332.3553842,4.220252461,12/03/2016 11:15:00
139.6343579,337.6712793,4.220539364,12/03/2016 11:30:00
141.5576833,342.9871745,4.220826266,12/03/2016 11:45:00
144.0668551,348.3030696,4.221113169,12/03/2016 12:00:00
146.0364787,342.2811547,4.221400071,12/03/2016 12:15:00
147.5269045,336.2592397,4.221686974,12/03/2016 12:30:00
151.2619733,330.2373248,4.221973876,12/03/2016 12:45:00
154.9970421,324.2154099,4.222260778,12/03/2016 13:00:00
158.7321109,317.4861212,4.222547681,12/03/2016 13:15:00
162.4671797,310.7568326,4.222834583,12/03/2016 13:30:00
166.2022485,304.027544,4.223121486,12/03/2016 13:45:00
169.9373173,297.2982553,4.223408388,12/03/2016 14:00:00
173.5729778,302.7102937,4.223695291,12/03/2016 14:15:00
177.2086382,308.1223321,4.223982193,12/03/2016 14:30:00
180.8442986,313.5343706,4.224269095,12/03/2016 14:45:00
180.9119656,318.9464091,4.224555998,12/03/2016 15:00:00
180.9796327,323.7688357,4.2248429,12/03/2016 15:15:00
181.0472997,328.5912625,4.225129803,12/03/2016 15:30:00
179.6098428,333.4136891,4.225416705,12/03/2016 15:45:00
178.172386,338.2361158,4.225703608,12/03/2016 16:00:00
179.3536183,341.1636524,4.22599051,12/03/2016 16:15:00
179.664139,344.091189,4.226277412,12/03/2016 16:30:00
179.9746596,347.0187256,4.226564315,12/03/2016 16:45:00
180.2851803,349.9462623,4.226851217,12/03/2016 17:00:00
178.3487258,355.1672724,4.22713812,12/03/2016 17:15:00
177.1830189,360.3882825,4.227425022,12/03/2016 17:30:00
176.4318202,365.6092926,4.227711925,12/03/2016 17:45:00
176.9523007,370.8303027,4.227998827,12/03/2016 18:00:00
177.0032695,372.4778956,4.228285729,12/03/2016 18:15:00
174.4946532,374.1254885,4.228572632,12/03/2016 18:30:00
172.5086789,375.7730814,4.228859534,12/03/2016 18:45:00
172.3304772,377.4206743,4.229146437,12/03/2016 19:00:00
172.1515491,375.3214742,4.229433339,12/03/2016 19:15:00
171.9427499,373.2222741,4.229720242,12/03/2016 19:30:00
171.4405859,371.123074,4.230007144,12/03/2016 19:45:00
172.2632172,369.0238739,4.230294046,12/03/2016 20:00:00
168.3371731,368.293947,4.230580949,12/03/2016 20:15:00
164.4111291,367.5640202,4.230867851,12/03/2016 20:30:00
168.2271222,366.8340933,4.231154754,12/03/2016 20:45:00
168.8833758,366.1041665,4.231441656,12/03/2016 21:00:00
174.3629444,347.4715765,4.231728559,12/03/2016 21:15:00
179.842513,328.8389862,4.232015461,12/03/2016 21:30:00
180.8521916,310.2063962,4.232302363,12/03/2016 21:45:00
180.6253385,291.5738062,4.232589266,12/03/2016 22:00:00
179.4341339,287.668273,4.232876168,12/03/2016 22:15:00
179.7095984,283.7627398,4.233163071,12/03/2016 22:30:00
179.4746434,279.8572065,4.233449973,12/03/2016 22:45:00
180.0741837,275.9516733,4.233736876,12/03/2016 23:00:00
172.5859423,278.1470167,4.234023778,12/03/2016 23:15:00
173.2259921,280.3423601,4.23431068,12/03/2016 23:30:00
172.4158025,282.5377035,4.234597583,12/03/2016 23:45:00
172.4401082,284.733047,4.234884485,12/04/2016 00:00:00
172.3833949,287.3228311,4.235171388,12/04/2016 00:15:00
177.3741629,289.9126152,4.23545829,12/04/2016 00:30:00
172.7147245,292.5023993,4.235745193,12/04/2016 00:45:00
168.0552862,295.0921835,4.236032095,12/04/2016 01:00:00
163.3958479,299.8427713,4.236318997,12/04/2016 01:15:00
158.7364095,304.593359,4.2366059,12/04/2016 01:30:00
154.0769712,309.3439468,4.236892802,12/04/2016 01:45:00
149.4175329,314.0945346,4.237179705,12/04/2016 02:00:00
144.7580945,321.4971722,4.237466607,12/04/2016 02:15:00
140.0986562,328.8998099,4.23775351,12/04/2016 02:30:00
135.4392178,336.3024476,4.238040412,12/04/2016 02:45:00
134.7100472,343.7050853,4.238327314,12/04/2016 03:00:00
135.0179192,351.9967873,4.238614217,12/04/2016 03:15:00
135.4392178,360.2884895,4.238901119,12/04/2016 03:30:00
138.6401156,368.5801916,4.239188022,12/04/2016 03:45:00
139.4178976,376.8718937,4.239474924,12/04/2016 04:00:00
149.8839933,370.4018446,4.239761827,12/04/2016 04:15:00
160.3500887,363.9317956,4.240048729,12/04/2016 04:30:00
140.6008104,357.4617466,4.240335632,12/04/2016 04:45:00
140.7628483,350.9916976,4.240622534,12/04/2016 05:00:00
141.184147,387.7013126,4.240909436,12/04/2016 05:15:00
143.4928401,424.4109276,4.241196339,12/04/2016 05:30:00
147.4760832,461.120543,4.241483241,12/04/2016 05:45:00
142.19668,497.830158,4.241770144,12/04/2016 06:00:00
141.6781586,518.3703826,4.242057046,12/04/2016 06:15:00
137.2607599,538.9106075,4.242343949,12/04/2016 06:30:00
132.843361,559.4508321,4.242630851,12/04/2016 06:45:00
128.4259623,579.9910567,4.242917753,12/04/2016 07:00:00
126.6293436,553.2198019,4.243204656,12/04/2016 07:15:00
125.4529474,526.4485474,4.243491558,12/04/2016 07:30:00
125.3719284,499.677293,4.243778461,12/04/2016 07:45:00
119.9799847,472.9060382,4.244065363,12/04/2016 08:00:00
126.5646791,453.2567323,4.244352266,12/04/2016 08:15:00
126.2968762,433.6074264,4.244639168,12/04/2016 08:30:00
127.541062,413.9581203,4.24492607,12/04/2016 08:45:00
136.8023487,394.3088144,4.245212973,12/04/2016 09:00:00
142.1920406,388.593578,4.245499875,12/04/2016 09:15:00
143.4083672,382.8783415,4.245786778,12/04/2016 09:30:00
143.7499309,377.163105,4.24607368,12/04/2016 09:45:00
134.5511527,371.4478686,4.246360583,12/04/2016 10:00:00
133.9858996,371.4589943,4.246647485,12/04/2016 10:15:00
132.0041758,371.47012,4.246934387,12/04/2016 10:30:00
131.6415349,371.4812457,4.24722129,12/04/2016 10:45:00
137.1352346,371.4923715,4.247508192,12/04/2016 11:00:00
142.6289342,362.0528951,4.247795095,12/04/2016 11:15:00
134.3946889,352.6134188,4.248081997,12/04/2016 11:30:00
129.7697675,343.1739424,4.2483689,12/04/2016 11:45:00
128.6837894,333.7344661,4.248655802,12/04/2016 12:00:00
138.2488449,332.9325163,4.248942704,12/04/2016 12:15:00
133.0851188,332.1305666,4.249229607,12/04/2016 12:30:00
137.2699507,331.3286169,4.249516509,12/04/2016 12:45:00
140.1708958,330.5266672,4.249803412,12/04/2016 13:00:00
150.4404601,331.4836853,4.250090314,12/04/2016 13:15:00
152.1764971,332.4407035,4.250377217,12/04/2016 13:30:00
153.4230924,333.3977216,4.250664119,12/04/2016 13:45:00
159.9330802,334.3547398,4.250951021,12/04/2016 14:00:00
