E,H,C,timestamp
1834.129096,3649.995787,50.39187439,12/03/2016 02:45:00
1799.41542,3641.533442,50.39530808,12/03/2016 03:00:00
1793.597537,3674.175451,50.39874177,12/03/2016 03:15:00
1839.509613,3706.817459,50.40217546,12/03/2016 03:30:00
1833.945778,3739.459468,50.40560915,12/03/2016 03:45:00
1827.722582,3772.101476,50.40904285,12/03/2016 04:00:00
1815.293644,3923.561707,50.41247654,12/03/2016 04:15:00
1840.873683,4075.021936,50.41591023,12/03/2016 04:30:00
1841.455471,4226.482165,50.41934392,12/03/2016 04:45:00
1844.170484,4377.942395,50.42277761,12/03/2016 05:00:00
1836.607236,4747.958193,50.4262113,12/03/2016 05:15:00
1840.291895,5117.97399,50.429645,12/03/2016 05:30:00
1835.24973,5487.989791,50.43307869,12/03/2016 05:45:00
1839.322248,5858.005588,50.43651238,12/03/2016 06:00:00
1844.170484,6005.209546,50.43994607,12/03/2016 06:15:00
1846.691566,6152.413506,50.44337976,12/03/2016 06:30:00
1834.861871,6299.617465,50.44681345,12/03/2016 06:45:00
1845.52799,6446.821423,50.45024715,12/03/2016 07:00:00
1839.322248,6302.191252,50.45368084,12/03/2016 07:15:00
1843.200836,6157.561083,50.45711453,12/03/2016 07:30:00
1838.54653,6012.930914,50.46054822,12/03/2016 07:45:00
1838.740459,5868.300743,50.46398191,12/03/2016 08:00:00
1857.522525,5622.900399,50.4674156,12/03/2016 08:15:00
1807.956206,5377.500056,50.4708493,12/03/2016 08:30:00
1758.389887,5132.09971,50.47428299,12/03/2016 08:45:00
1756.117034,4886.699367,50.47771668,12/03/2016 09:00:00
1765.055242,4634.56293,50.48115037,12/03/2016 09:15:00
1826.219939,4382.426489,50.48458406,12/03/2016 09:30:00
1790.492668,4130.290052,50.48801775,12/03/2016 09:45:00
1754.765397,3878.153614,50.49145145,12/03/2016 10:00:00
1719.038126,3887.129731,50.49488514,12/03/2016 10:15:00
1734.392683,3896.105847,50.49831883,12/03/2016 10:30:00
1739.306855,3905.081964,50.50175252,12/03/2016 10:45:00
1745.303929,3914.05808,50.50518621,12/03/2016 11:00:00
1747.904134,3977.679517,50.5086199,12/03/2016 11:15:00
1671.16512,4041.300954,50.5120536,12/03/2016 11:30:00
1694.183768,4104.922392,50.51548729,12/03/2016 11:45:00
1724.213917,4168.543829,50.51892098,12/03/2016 12:00:00
1747.78667,4096.47264,50.52235467,12/03/2016 12:15:00
1765.624311,4024.401451,50.52578836,12/03/2016 12:30:00
1810.32618,3952.330262,50.52922205,12/03/2016 12:45:00
1855.028048,3880.259073,50.53265575,12/03/2016 13:00:00
1899.729916,3799.721928,50.53608944,12/03/2016 13:15:00
1944.431785,3719.184784,50.53952313,12/03/2016 13:30:00
1989.133653,3638.64764,50.54295682,12/03/2016 13:45:00
2033.835522,3558.110495,50.54639051,12/03/2016 14:00:00
2077.347656,3622.882589,50.5498242,12/03/2016 14:15:00
2120.85979,3687.654684,50.5532579,12/03/2016 14:30:00
2164.371924,3752.42678,50.55669159,12/03/2016 14:45:00
2165.181773,3817.198874,50.56012528,12/03/2016 15:00:00
2165.991623,3874.914406,50.56355897,12/03/2016 15:15:00
2166.801472,3932.629939,50.56699266,12/03/2016 15:30:00
2149.597771,3990.345471,50.57042635,12/03/2016 15:45:00
2132.39407,4048.061003,50.57386005,12/03/2016 16:00:00
2146.531237,4083.098204,50.57729374,12/03/2016 16:15:00
2150.247595,4118.135405,50.58072743,12/03/2016 16:30:00
2153.963953,4153.172606,50.58416112,12/03/2016 16:45:00
2157.680311,4188.209807,50.58759481,12/03/2016 17:00:00
2134.504531,4250.695646,50.5910285,12/03/2016 17:15:00
2120.553175,4313.181484,50.5944622,12/03/2016 17:30:00
2111.562715,4375.667324,50.59789589,12/03/2016 17:45:00
2117.791905,4438.153162,50.60132958,12/03/2016 18:00:00
2118.401907,4457.871803,50.60476327,12/03/2016 18:15:00
2088.378407,4477.590445,50.60819696,12/03/2016 18:30:00
2064.609966,4497.309086,50.61163065,12/03/2016 18:45:00
2062.477222,4517.027727,50.61506435,12/03/2016 19:00:00
2060.335783,4491.904182,50.61849804,12/03/2016 19:15:00
2057.836843,4466.780638,50.62193173,12/03/2016 19:30:00
2051.826868,4441.657094,50.62536542,12/03/2016 19:45:00
2061.672243,4416.533549,50.62879911,12/03/2016 20:00:00
2014.684754,4407.797674,50.6322328,12/03/2016 20:15:00
1967.697266,4399.061799,50.6356665,12/03/2016 20:30:00
2013.367648,4390.325924,50.63910019,12/03/2016 20:45:00
2021.221791,4381.590049,50.64253388,12/03/2016 21:00:00
2086.802096,4158.592393,50.64596757,12/03/2016 21:15:00
2152.382402,3935.594735,50.64940126,12/03/2016 21:30:00
2164.466388,3712.597079,50.65283495,12/03/2016 21:45:00
2161.751376,3489.599423,50.65626865,12/03/2016 22:00:00
2147.49486,3442.85741,50.65970234,12/03/2016 22:15:00
2150.79166,3396.115397,50.66313603,12/03/2016 22:30:00
2147.979683,3349.373385,50.66656972,12/03/2016 22:45:00
2155.155072,3302.631372,50.67000341,12/03/2016 23:00:00
2065.534667,3328.905574,50.6734371,12/03/2016 23:15:00
2073.194879,3355.179776,50.6768708,12/03/2016 23:30:00
2063.498407,3381.453979,50.68030449,12/03/2016 23:45:00
2063.789302,3407.728181,50.68373818,12/04/2016 00:00:00
2063.110549,3438.723109,50.68717187,12/04/2016 00:15:00
2122.840815,3469.718037,50.69060556,12/04/2016 00:30:00
2067.075952,3500.712966,50.69403925,12/04/2016 00:45:00
2011.311089,3531.707894,50.69747295,12/04/2016 01:00:00
1955.546226,3588.563647,50.70090664,12/04/2016 01:15:00
1899.781363,3645.4194,50.70434033,12/04/2016 01:30:00
1844.0165,3702.275153,50.70777402,12/04/2016 01:45:00
1788.251637,3759.130906,50.71120771,12/04/2016 02:00:00
1732.486774,3847.726794,50.71464141,12/04/2016 02:15:00
1676.721912,3936.322681,50.7180751,12/04/2016 02:30:00
1620.957049,4024.918569,50.72150879,12/04/2016 02:45:00
1612.230224,4113.514457,50.72494248,12/04/2016 03:00:00
1615.914883,4212.750801,50.72837617,12/04/2016 03:15:00
1620.957049,4311.987147,50.73180986,12/04/2016 03:30:00
1659.265877,4411.223492,50.73524356,12/04/2016 03:45:00
1668.57449,4510.459837,50.73867725,12/04/2016 04:00:00
1793.834306,4433.025311,50.74211094,12/04/2016 04:15:00
1919.094119,4355.590786,50.74554463,12/04/2016 04:30:00
1682.731769,4278.156261,50.74897832,12/04/2016 04:45:00
1684.671064,4200.721735,50.75241201,12/04/2016 05:00:00
1689.713229,4640.067961,50.75584571,12/04/2016 05:15:00
1717.344018,5079.414187,50.7592794,12/04/2016 05:30:00
1765.016075,5518.760418,50.76271309,12/04/2016 05:45:00
1701.831378,5958.106644,50.76614678,12/04/2016 06:00:00
1695.625636,6203.935159,50.76958047,12/04/2016 06:15:00
1642.757539,6449.763677,50.77301416,12/04/2016 06:30:00
1589.889442,6695.592193,50.77644786,12/04/2016 06:45:00
1537.021346,6941.420708,50.77988155,12/04/2016 07:00:00
1515.51914,6621.018281,50.78331524,12/04/2016 07:15:00
1501.439853,6300.615858,50.78674893,12/04/2016 07:30:00
1500.470206,5980.213434,50.79018262,12/04/2016 07:45:00
1435.938608,5659.811007,50.79361631,12/04/2016 08:00:00
1514.745227,5424.645142,50.79705001,12/04/2016 08:15:00
1511.540121,5189.479276,50.8004837,12/04/2016 08:30:00
1526.430724,4954.313408,50.80391739,12/04/2016 08:45:00
1637.271205,4719.147542,50.80735108,12/04/2016 09:00:00
1701.775853,4650.746728,50.81078477,12/04/2016 09:15:00
1716.333033,4582.345913,50.81421846,12/04/2016 09:30:00
1720.42092,4513.945098,50.81765216,12/04/2016 09:45:00
1610.32855,4445.544284,50.82108585,12/04/2016 10:00:00
1603.563516,4445.677438,50.82451954,12/04/2016 10:15:00
1579.845946,4445.810593,50.82795323,12/04/2016 10:30:00
1575.505805,4445.943747,50.83138692,12/04/2016 10:45:00
1641.255234,4446.076901,50.83482061,12/04/2016 11:00:00
1707.004661,4333.103821,50.83825431,12/04/2016 11:15:00
1608.455968,4220.13074,50.841688,12/04/2016 11:30:00
1553.104209,4107.157658,50.84512169,12/04/2016 11:45:00
1540.107059,3994.184578,50.84855538,12/04/2016 12:00:00
1654.58309,3984.586722,50.85198907,12/04/2016 12:15:00
1592.782835,3974.988866,50.85542276,12/04/2016 12:30:00
1642.867536,3965.391011,50.85885646,12/04/2016 12:45:00
1677.586486,3955.793155,50.86229015,12/04/2016 13:00:00
1800.494186,3967.246893,50.86572384,12/04/2016 13:15:00
1821.271339,3978.700631,50.86915753,12/04/2016 13:30:00
1836.19078,3990.154369,50.87259122,12/04/2016 13:45:00
1914.103299,4001.608107,50.87602491,12/04/2016 14:00:00
1907.427051,4041.811556,50.87945861,12/04/2016 14:15:00
1868.533151,4082.015004,50.8828923,12/04/2016 14:30:00
1857.055054,4122.218452,50.88632599,12/04/2016 14:45:00
1900.405571,4162.4219,50.88975968,12/04/2016 15:00:00
1943.756088,4255.184409,50.89319337,12/04/2016 15:15:00
1987.106605,4347.946918,50.89662706,12/04/2016 15:30:00
2030.457122,4440.709426,50.90006076,12/04/2016 15:45:00
2073.807639,4533.471934,50.90349445,12/04/2016 16:00:00
2117.158156,4504.678544,50.90692814,12/04/2016 16:15:00
2160.508673,4475.885153,50.91036183,12/04/2016 16:30:00
2203.85919,4447.091763,50.91379552,12/04/2016 16:45:00
2247.209707,4418.298372,50.91722921,12/04/2016 17:00:00
2250.990445,4301.458268,50.92066291,12/04/2016 17:15:00
2238.134475,4184.618164,50.9240966,12/04/2016 17:30:00
2266.391399,4067.778058,50.92753029,12/04/2016 17:45:00
2228.445614,3950.937954,50.93096398,12/04/2016 18:00:00
2203.730386,3933.200776,50.93439767,12/04/2016 18:15:00
2179.015159,3915.463598,50.93783136,12/04/2016 18:30:00
2129.766761,3897.72642,50.94126506,12/04/2016 18:45:00
2108.13584,3879.989242,50.94469875,12/04/2016 19:00:00
2100.456026,3857.646263,50.94813244,12/04/2016 19:15:00
2146.661163,3835.303284,50.95156613,12/04/2016 19:30:00
2192.866298,3812.960305,50.95499982,12/04/2016 19:45:00
2239.071433,3790.617325,50.95843351,12/04/2016 20:00:00
2285.276569,3789.205643,50.96186721,12/04/2016 20:15:00
2279.634315,3787.79396,50.9653009,12/04/2016 20:30:00
2367.077489,3786.382278,50.96873459,12/04/2016 20:45:00
2379.376411,3784.970595,50.97216828,12/04/2016 21:00:00
2400.645902,3702.611738,50.97560197,12/04/2016 21:15:00
2407.575781,3620.252879,50.97903566,12/04/2016 21:30:00
2411.307163,3537.894022,50.98246936,12/04/2016 21:45:00
2407.842762,3455.535164,50.98590305,12/04/2016 22:00:00
2389.684588,3463.261638,50.98933674,12/04/2016 22:15:00
2382.703128,3470.988111,50.99277043,12/04/2016 22:30:00
2386.447628,3478.714585,50.99620412,12/04/2016 22:45:00
2335.482726,3486.441058,50.99963781,12/04/2016 23:00:00
2328.404302,3476.290683,51.00307151,12/04/2016 23:15:00
2335.77362,3466.140307,51.0065052,12/04/2016 23:30:00
2312.662112,3455.989932,51.00993889,12/04/2016 23:45:00
2303.741358,3445.839556,51.01337258,12/05/2016 00:00:00
2307.649198,3488.655101,51.01680627,12/05/2016 00:15:00
2222.90064,3531.470647,51.02023996,12/05/2016 00:30:00
2336.15543,3574.286192,51.02367366,12/05/2016 00:45:00
2237.612285,3617.101737,51.02710735,12/05/2016 01:00:00
2139.069138,3621.774732,51.03054104,12/05/2016 01:15:00
2040.525991,3626.447726,51.03397473,12/05/2016 01:30:00
1941.982846,3631.120721,51.03740842,12/05/2016 01:45:00
1852.347449,3635.793716,51.04084211,12/05/2016 02:00:00
1904.917405,3683.247206,51.04427581,12/05/2016 02:15:00
1908.795993,3730.700696,51.0477095,12/05/2016 02:30:00
1911.511006,3778.154186,51.05114319,12/05/2016 02:45:00
1907.244558,3825.607676,51.05457688,12/05/2016 03:00:00
1899.487381,3852.983748,51.05801057,12/05/2016 03:15:00
1902.008463,3880.35982,51.06144426,12/05/2016 03:30:00
1904.723475,3907.735892,51.06487796,12/05/2016 03:45:00
1909.765641,3935.111963,51.06831165,12/05/2016 04:00:00
1908.214205,3971.649088,51.07174534,12/05/2016 04:15:00
1908.989922,4008.186213,51.07517903,12/05/2016 04:30:00
1869.860116,4044.723338,51.07861272,12/05/2016 04:45:00
1830.730309,4081.260463,51.08204641,12/05/2016 05:00:00
1791.600501,4498.189911,51.08548011,12/05/2016 05:15:00
1752.470694,4915.119359,51.0889138,12/05/2016 05:30:00
1713.340887,5332.048813,51.09234749,12/05/2016 05:45:00
1726.722018,5748.978261,51.09578118,12/05/2016 06:00:00
1706.359427,5881.751971,51.09921487,12/05/2016 06:15:00
1675.136788,6014.525683,51.10264856,12/05/2016 06:30:00
1669.318904,6147.299394,51.10608226,12/05/2016 06:45:00
1595.668864,6280.073104,51.10951595,12/05/2016 07:00:00
1607.30463,6234.593855,51.11294964,12/05/2016 07:15:00
1542.726128,6189.114608,51.11638333,12/05/2016 07:30:00
1526.823914,6143.63536,51.11981702,12/05/2016 07:45:00
1573.095756,6098.156111,51.12325071,12/05/2016 08:00:00
1619.367599,5901.110163,51.12668441,12/05/2016 08:15:00
1665.639441,5704.064215,51.1301181,12/05/2016 08:30:00
1670.099818,5507.018265,51.13355179,12/05/2016 08:45:00
1667.966594,5309.972317,51.13698548,12/05/2016 09:00:00
1666.0273,5232.842937,51.14041917,12/05/2016 09:15:00
1663.506217,5155.713556,51.14385286,12/05/2016 09:30:00
1672.233042,5078.584176,51.14728656,12/05/2016 09:45:00
1678.78553,5001.454796,51.15072025,12/05/2016 10:00:00
1668.412632,4980.444769,51.15415394,12/05/2016 10:15:00
1679.636493,4959.434743,51.15758763,12/05/2016 10:30:00
1761.565134,4938.424716,51.16102132,12/05/2016 10:45:00
1843.493776,4917.414689,51.16445501,12/05/2016 11:00:00
1925.422419,4886.783469,51.16788871,12/05/2016 11:15:00
2034.624084,4856.15225,51.1713224,12/05/2016 11:30:00
2043.53708,4825.52103,51.17475609,12/05/2016 11:45:00
2057.140842,4794.88981,51.17818978,12/05/2016 12:00:00
2048.163277,4818.231271,51.18162347,12/05/2016 12:15:00
2039.185712,4841.572731,51.18505716,12/05/2016 12:30:00
2030.208147,4864.914192,51.18849086,12/05/2016 12:45:00
2021.230582,4888.255652,51.19192455,12/05/2016 13:00:00
2012.253016,4876.992487,51.19535824,12/05/2016 13:15:00
2058.486918,4865.729322,51.19879193,12/05/2016 13:30:00
2104.720819,4854.466157,51.20222562,12/05/2016 13:45:00
2150.95472,4843.202991,51.20565931,12/05/2016 14:00:00
2197.188622,4830.242461,51.20909301,12/05/2016 14:15:00
2243.422523,4817.28193,51.2125267,12/05/2016 14:30:00
2289.656424,4804.321399,51.21596039,12/05/2016 14:45:00
2329.761662,4791.360868,51.21939408,12/05/2016 15:00:00
2300.628649,4838.089319,51.22282777,12/05/2016 15:15:00
2271.495636,4884.81777,51.22626146,12/05/2016 15:30:00
2264.971497,4931.54622,51.22969516,12/05/2016 15:45:00
2214.488775,4978.274671,51.23312885,12/05/2016 16:00:00
2265.925545,4956.729561,51.23656254,12/05/2016 16:15:00
2283.227485,4935.184451,51.23999623,12/05/2016 16:30:00
2279.071586,4913.639341,51.24342992,12/05/2016 16:45:00
2315.483704,4892.094231,51.24686361,12/05/2016 17:00:00
2281.282357,4835.830715,51.25029731,12/05/2016 17:15:00
2248.35988,4779.5672,51.253731,12/05/2016 17:30:00
2293.082164,4723.303683,51.25716469,12/05/2016 17:45:00
2268.236797,4667.040168,51.26059838,12/05/2016 18:00:00
2277.897852,4691.170691,51.26403207,12/05/2016 18:15:00
2212.172495,4715.301214,51.26746576,12/05/2016 18:30:00
2283.6853,4739.431737,51.27089946,12/05/2016 18:45:00
2351.064983,4763.56226,51.27433315,12/05/2016 19:00:00
2360.973732,4773.288339,51.27776684,12/05/2016 19:15:00
2285.272916,4783.014417,51.28120053,12/05/2016 19:30:00
2327.636414,4792.740495,51.28463422,12/05/2016 19:45:00
2415.850284,4802.466573,51.28806792,12/05/2016 20:00:00
2429.951743,4744.356334,51.29150161,12/05/2016 20:15:00
2473.046863,4686.246095,51.2949353,12/05/2016 20:30:00
2499.23267,4628.135855,51.29836899,12/05/2016 20:45:00
2472.858266,4570.025615,51.30180268,12/05/2016 21:00:00
2456.312449,4468.501693,51.30523637,12/05/2016 21:15:00
2469.033008,4366.97777,51.30867007,12/05/2016 21:30:00
2474.701688,4265.453848,51.31210376,12/05/2016 21:45:00
2561.339276,4163.929926,51.31553745,12/05/2016 22:00:00
2556.90617,4142.362447,51.31897114,12/05/2016 22:15:00
2596.635347,4120.794969,51.32240483,12/05/2016 22:30:00
