E,H,C,timestamp
127.8361288,254.3993945,3.512240309,12/03/2016 02:45:00
125.4166361,253.8095814,3.512479633,12/03/2016 03:00:00
125.0111381,256.0846819,3.512718956,12/03/2016 03:15:00
128.211143,258.3597824,3.512958279,12/03/2016 03:30:00
127.8233518,260.6348829,3.513197603,12/03/2016 03:45:00
127.3896041,262.9099834,3.513436926,12/03/2016 04:00:00
126.5233252,273.466541,3.513676249,12/03/2016 04:15:00
128.3062167,284.0230985,3.513915573,12/03/2016 04:30:00
128.3467665,294.5796561,3.514154896,12/03/2016 04:45:00
128.5359989,305.1362137,3.514394219,12/03/2016 05:00:00
128.0088515,330.9257763,3.514633543,12/03/2016 05:15:00
128.2656669,356.7153389,3.514872866,12/03/2016 05:30:00
127.9142353,382.5049018,3.515112189,12/03/2016 05:45:00
128.1980839,408.2944643,3.515351512,12/03/2016 06:00:00
128.5359989,418.554366,3.515590836,12/03/2016 06:15:00
128.7117147,428.8142678,3.515830159,12/03/2016 06:30:00
127.8872021,439.0741695,3.516069482,12/03/2016 06:45:00
128.6306151,449.3340711,3.516308806,12/03/2016 07:00:00
128.1980839,439.2535587,3.516548129,12/03/2016 07:15:00
128.4684159,429.1730464,3.516787452,12/03/2016 07:30:00
128.1440175,419.092534,3.517026776,12/03/2016 07:45:00
128.1575341,409.0120216,3.517266099,12/03/2016 08:00:00
129.4666167,391.9079748,3.517505422,12/03/2016 08:15:00
126.0119165,374.803928,3.517744746,12/03/2016 08:30:00
122.5572161,357.6998811,3.517984069,12/03/2016 08:45:00
122.3988016,340.5958343,3.518223392,12/03/2016 09:00:00
123.0217817,323.0222915,3.518462716,12/03/2016 09:15:00
127.284872,305.4487486,3.518702039,12/03/2016 09:30:00
124.7947332,287.8752058,3.518941362,12/03/2016 09:45:00
122.3045945,270.301663,3.519180686,12/03/2016 10:00:00
119.8144557,270.9272853,3.519420009,12/03/2016 10:15:00
120.884646,271.5529075,3.519659332,12/03/2016 10:30:00
121.2271566,272.1785298,3.519898655,12/03/2016 10:45:00
121.6451439,272.8041521,3.520137979,12/03/2016 11:00:00
121.8263744,277.2384736,3.520377302,12/03/2016 11:15:00
116.4777768,281.6727952,3.520616625,12/03/2016 11:30:00
118.0821431,286.1071168,3.520855949,12/03/2016 11:45:00
120.1752008,290.5414384,3.521095272,12/03/2016 12:00:00
121.8181873,285.5181814,3.521334595,12/03/2016 12:15:00
123.061445,280.4949244,3.521573919,12/03/2016 12:30:00
126.1771002,275.4716674,3.521813242,12/03/2016 12:45:00
129.2927553,270.4484105,3.522052565,12/03/2016 13:00:00
132.4084105,264.8350887,3.522291889,12/03/2016 13:15:00
135.5240657,259.2217669,3.522531212,12/03/2016 13:30:00
138.6397208,253.6084452,3.522770535,12/03/2016 13:45:00
141.755376,247.9951234,3.523009859,12/03/2016 14:00:00
144.7881085,252.5096441,3.523249182,12/03/2016 14:15:00
147.8208409,257.0241648,3.523488505,12/03/2016 14:30:00
150.8535733,261.5386856,3.523727828,12/03/2016 14:45:00
150.9100186,266.0532064,3.523967152,12/03/2016 15:00:00
150.9664639,270.075895,3.524206475,12/03/2016 15:15:00
151.0229092,274.0985836,3.524445798,12/03/2016 15:30:00
149.8238363,278.1212722,3.524685122,12/03/2016 15:45:00
148.6247634,282.1439607,3.524924445,12/03/2016 16:00:00
149.6101034,284.5860027,3.525163768,12/03/2016 16:15:00
149.8691281,287.0280446,3.525403092,12/03/2016 16:30:00
150.1281529,289.4700865,3.525642415,12/03/2016 16:45:00
150.3871776,291.9121285,3.525881738,12/03/2016 17:00:00
148.7718595,296.2673005,3.526121062,12/03/2016 17:15:00
147.7994702,300.6224725,3.526360385,12/03/2016 17:30:00
147.1728483,304.9776445,3.526599708,12/03/2016 17:45:00
147.6070137,309.3328166,3.526839032,12/03/2016 18:00:00
147.64953,310.7071771,3.527078355,12/03/2016 18:15:00
145.5569358,312.0815378,3.527317678,12/03/2016 18:30:00
143.90031,313.4558983,3.527557001,12/03/2016 18:45:00
143.7516608,314.8302589,3.527796325,12/03/2016 19:00:00
143.6024057,313.0791844,3.528035648,12/03/2016 19:15:00
143.4282332,311.32811,3.528274971,12/03/2016 19:30:00
143.0093466,309.5770355,3.528514295,12/03/2016 19:45:00
143.695555,307.825961,3.528753618,12/03/2016 20:00:00
140.4205954,307.2170832,3.528992941,12/03/2016 20:15:00
137.1456358,306.6082054,3.529232265,12/03/2016 20:30:00
140.328795,305.9993277,3.529471588,12/03/2016 20:45:00
140.8762173,305.3904499,3.529710911,12/03/2016 21:00:00
145.4470692,289.8478378,3.529950235,12/03/2016 21:15:00
150.017921,274.3052255,3.530189558,12/03/2016 21:30:00
150.8601573,258.7626134,3.530428881,12/03/2016 21:45:00
150.6709249,243.2200013,3.530668205,12/03/2016 22:00:00
149.6772665,239.9621511,3.530907528,12/03/2016 22:15:00
149.9070487,236.7043008,3.531146851,12/03/2016 22:30:00
149.711058,233.4464506,3.531386174,12/03/2016 22:45:00
150.2111721,230.1886003,3.531625498,12/03/2016 23:00:00
143.9647603,232.019874,3.531864821,12/03/2016 23:15:00
144.498666,233.8511476,3.532104144,12/03/2016 23:30:00
143.822836,235.6824213,3.532343468,12/03/2016 23:45:00
143.8431109,237.5136949,3.532582791,12/04/2016 00:00:00
143.7958028,239.6739963,3.532822114,12/04/2016 00:15:00
147.9589154,241.8342977,3.533061438,12/04/2016 00:30:00
144.0721856,243.9945991,3.533300761,12/04/2016 00:45:00
140.1854559,246.1549005,3.533540084,12/04/2016 01:00:00
136.2987261,250.1176638,3.533779408,12/04/2016 01:15:00
132.4119962,254.080427,3.534018731,12/04/2016 01:30:00
128.5252665,258.0431902,3.534258054,12/04/2016 01:45:00
124.6385367,262.0059535,3.534497378,12/04/2016 02:00:00
120.7518068,268.1809579,3.534736701,12/04/2016 02:15:00
116.8650771,274.3559623,3.534976024,12/04/2016 02:30:00
112.9783473,280.5309668,3.535215347,12/04/2016 02:45:00
112.3701003,286.7059712,3.535454671,12/04/2016 03:00:00
112.6269157,293.6226,3.535693994,12/04/2016 03:15:00
112.9783473,300.5392289,3.535933317,12/04/2016 03:30:00
115.6484169,307.4558577,3.536172641,12/04/2016 03:45:00
116.2972137,314.3724866,3.536411964,12/04/2016 04:00:00
125.0276406,308.9754128,3.536651287,12/04/2016 04:15:00
133.7580673,303.5783391,3.536890611,12/04/2016 04:30:00
117.2839554,298.1812654,3.537129934,12/04/2016 04:45:00
117.4191214,292.7841916,3.537369257,12/04/2016 05:00:00
117.770553,323.4059842,3.537608581,12/04/2016 05:15:00
119.6963788,354.0277767,3.537847904,12/04/2016 05:30:00
123.0190518,384.6495697,3.538087227,12/04/2016 05:45:00
