ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8
1.45301185274493e-07,4.09525802412353e-08,1.2273802556663275e-11,1.227670200358183e-11,9.09234831569111e-08,1.2278483460503011e-11,1960.3111265394825,6281.046305738184,3983.54430225744,3949.2201993900017,674.7978990886859,2187.499996899437,1374.9999868102004,1374.9999968216166,1509.608493184443,1509.608493184443,1509.608493184443,1509.608493184443,1509.608493184443,1494.5124082525988,1494.5124082525988,1494.5124082525988,1494.5124082525988,1494.5124082525988,1.2066970568650162e-06,7.385739434145325e-07,7.385739434145325e-07,1.0334620843153606e-06,1.0334620843153606e-06,76.88145776935421,76.88145776935421,1.490194448895988e-07,7.025857383983716e-07,2.0542517364952392e-07,1.5750604706649743e-07,1.5750604706649743e-07,1.8769199663927053e-07,1.8769199663927053e-07,7.869941423825808,7.869941423825808,9.715751034236346e-08,1.5382217672431697e-07
1.4530123360668818e-07,4.09525766250221e-08,1.2273681862358231e-11,1.2276703773910257e-11,9.092348343119868e-08,1.2278471106163303e-11,1652.6032645688747,6281.046305738245,3983.5443022585887,3949.220199390067,568.8756217625436,2187.499996899459,1374.999986810597,1374.9999968216398,1518.4244790310443,1518.4244790310443,1518.4244790310443,1518.4244790310443,1518.4244790310443,1503.2402342407343,1503.2402342407343,1503.2402342407343,1503.2402342407343,1503.2402342407343,1.206696928100104e-06,7.385738596270476e-07,7.385738596270476e-07,1.0334619719731082e-06,1.0334619719731082e-06,76.886696455819,76.886696455819,1.4901942727086357e-07,7.025856598257358e-07,2.0542515442769817e-07,1.5750603239101433e-07,1.5750603239101433e-07,1.8769197909527402e-07,1.8769197909527402e-07,7.870477679989673,7.870477679989673,9.715750193840377e-08,1.5382216239515103e-07
1.4530124280867203e-07,4.095257593653151e-08,1.2273659033429238e-11,1.2276708286875788e-11,9.092348413040293e-08,1.2278468769684682e-11,1601.0351635837853,6281.046305738256,3983.544302258781,3949.2201993900785,551.1243343604464,2187.4999968994625,1374.9999868106634,1374.9999968216434,1540.8977605855139,1540.8977605855139,1540.8977605855139,1540.8977605855139,1540.8977605855139,1525.488782979659,1525.488782979659,1525.488782979659,1525.488782979659,1525.488782979659,1.2066969035629206e-06,7.385738436712622e-07,7.385738436712622e-07,1.0334619505584086e-06,1.0334619505584086e-06,76.89193514228359,76.89193514228359,1.4901942391631655e-07,7.02585644796839e-07,2.054251507672589e-07,1.575060295965732e-07,1.575060295965732e-07,1.8769197575446815e-07,1.8769197575446815e-07,7.871013936153514,7.871013936153514,9.715750033833364e-08,1.538221596669052e-07
1.4530117957816995e-07,4.0952580667434984e-08,1.2273816762370817e-11,1.2276708600633344e-11,9.09234841790027e-08,1.2278484915741239e-11,2008.014768557073,6281.046305738174,3983.544302257262,3949.2201993899907,691.2189237804012,2187.499996899434,1374.999986810139,1374.999996821613,1542.4598119319094,1542.4598119319094,1542.4598119319094,1542.4598119319094,1542.4598119319094,1527.0352138125907,1527.0352138125907,1527.0352138125907,1527.0352138125907,1527.0352138125907,1.2066970720456712e-06,7.385739532843265e-07,7.385739532843265e-07,1.033462097656906e-06,1.033462097656906e-06,76.89717382880619,76.89717382880619,1.4901944696582217e-07,7.02585748157551e-07,2.0542517591182927e-07,1.5750604879465158e-07,1.5750604879465158e-07,1.8769199870437108e-07,1.8769199870437108e-07,7.871550192323296,7.871550192323296,9.715751133265656e-08,1.5382217840998814e-07
1.4530118842526894e-07,4.0952580005493996e-08,1.2273794625743248e-11,1.2276713093014663e-11,9.092348487501723e-08,1.2278482650784978e-11,1958.698609532228,6281.046305738182,3983.544302257447,3949.2201993900017,674.2428223592786,2187.499996899437,1374.9999868102027,1374.9999968216166,1564.8303977872604,1564.8303977872604,1564.8303977872604,1564.8303977872604,1564.8303977872604,1549.1820938093879,1549.1820938093879,1549.1820938093879,1549.1820938093879,1549.1820938093879,1.206697048448622e-06,7.385739379463361e-07,7.385739379463361e-07,1.033462077139849e-06,1.033462077139849e-06,76.90241251527121,76.90241251527121,1.490194437406259e-07,7.025857342177561e-07,2.0542517239251823e-07,1.575060461079484e-07,1.575060461079484e-07,1.876919954922699e-07,1.876919954922699e-07,7.872086448487186,7.872086448487186,9.715750979428976e-08,1.538221757851452e-07
1.4530119819556417e-07,4.095257927447976e-08,1.2273770175242806e-11,1.227671763922985e-11,9.092348557932944e-08,1.2278480148080379e-11,1903.5377137857952,6281.046305738195,3983.544302257652,3949.220199390014,655.254787216484,2187.499996899441,1374.9999868102736,1374.9999968216207,1587.4675221833288,1587.4675221833288,1587.4675221833288,1587.4675221833288,1587.4675221833288,1571.5928469614953,1571.5928469614953,1571.5928469614953,1571.5928469614953,1571.5928469614953,1.2066970223893942e-06,7.385739210059445e-07,7.385739210059445e-07,1.0334620544366261e-06,1.0334620544366261e-06,76.90765120173579,76.90765120173579,1.490194401788947e-07,7.025857185322505e-07,2.0542516850607289e-07,1.5750604314094417e-07,1.5750604314094417e-07,1.8769199194513157e-07,1.8769199194513157e-07,7.872622704651026,7.872622704651026,9.715750809540023e-08,1.5382217288747038e-07
1.4530122050160414e-07,4.095257760554141e-08,1.2273713645027704e-11,1.2276737397468999e-11,9.092348864058015e-08,1.2278474361870774e-11,1793.3675190264335,6281.046305738217,3983.5443022580635,3949.2201993900376,617.330901074469,2187.499996899449,1374.9999868104155,1374.999996821629,1685.8567232872567,1685.8567232872567,1685.8567232872567,1685.8567232872567,1685.8567232872567,1668.9981560543843,1668.9981560543843,1668.9981560543843,1668.9981560543843,1668.9981560543843,1.2066969626665235e-06,7.385738823236205e-07,7.385738823236205e-07,1.0334620022901168e-06,1.0334620022901168e-06,76.91288988825892,76.91288988825892,1.4901943204741174e-07,7.025856821539786e-07,2.0542515963464631e-07,1.575060363677713e-07,1.575060363677713e-07,1.876919838483026e-07,1.876919838483026e-07,7.873158960820865,7.873158960820865,9.715750421683459e-08,1.5382216627451174e-07
1.4507261479397617e-07,4.096972089712695e-08,1.285558815457061e-11,1.2276734494530721e-11,9.092348822896188e-08,1.2338037726701486e-11,2020.6746293104457,6281.046305419819,3982.989886869874,3949.2201990548074,695.5768276475349,2187.499996788561,1374.808619250874,1374.999996704912,1768.8812032029427,1768.8812032029427,1768.8812032029427,1768.8812032029427,1768.8812032029427,1751.1923911709134,1751.1923911709134,1751.1923911709134,1751.1923911709134,1751.1923911709134,1.2072355353870243e-06,7.389022351961858e-07,7.389022351961858e-07,1.033922750747492e-06,1.033922750747492e-06,76.9181285734762,76.9181285734762,1.4908473354929724e-07,7.028979152467486e-07,2.0551641189693683e-07,1.5757587002172066e-07,1.5757587002172066e-07,1.8777530930142462e-07,1.8777530930142462e-07,7.873695216855859,7.873695216855859,9.720047218574988e-08,1.5389035356547755e-07
1.4530119367387643e-07,4.0952579612791615e-08,1.227378140584294e-11,1.2276772773555102e-11,9.092349412156935e-08,1.2278481299364923e-11,2025.278936652806,6281.04630573817,3983.544302257199,3949.2201993899876,697.1617683639952,2187.499996899433,1374.9999868101172,1374.9999968216118,1862.0110059389874,1862.0110059389874,1862.0110059389874,1862.0110059389874,1862.0110059389874,1843.3908958795973,1843.3908958795973,1843.3908958795973,1843.3908958795973,1843.3908958795973,1.2066970344292575e-06,7.385739288450684e-07,7.385739288450684e-07,1.0334620651660094e-06,1.0334620651660094e-06,76.92336726118826,76.92336726118826,1.4901944182598656e-07,7.025857272226421e-07,2.0542517030125638e-07,1.575060445124271e-07,1.575060445124271e-07,1.8769199358370714e-07,1.8769199358370714e-07,7.874231473148568,7.874231473148568,9.7157508881608e-08,1.538221742219471e-07
1.4530119477494684e-07,4.0952579530408734e-08,1.227377864550015e-11,1.227679130373246e-11,9.092349699251882e-08,1.2278481016962486e-11,2049.3486203865164,6281.046305738164,3983.5443022571085,3949.2201993899826,705.4472755956504,2187.4999968994307,1374.999986810086,1374.99999682161,1954.2784426201833,1954.2784426201833,1954.2784426201833,1954.2784426201833,1954.2784426201833,1934.7356581939819,1934.7356581939819,1934.7356581939819,1934.7356581939819,1934.7356581939819,1.2066970314863294e-06,7.385739269322719e-07,7.385739269322719e-07,1.0334620625599933e-06,1.0334620625599933e-06,76.92860594771126,76.92860594771126,1.4901944142429194e-07,7.025857250959122e-07,2.0542516986238468e-07,1.5750604417764757e-07,1.5750604417764757e-07,1.8769199318332663e-07,1.8769199318332663e-07,7.874767729318392,7.874767729318392,9.715750869013671e-08,1.5382217389626124e-07
