ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8,temp_0
1766.8596688387647,2.479437289670286e-07,1.1156735949406088e-12,1.1153828653248196e-12,2.680452213830257e-06,1.1141325019107358e-12,7262.586058380864,6281.0463115633465,3983.5443369647573,3949.2202051958952,2499.9999988764444,2187.499998928167,1374.9999987901256,1374.9999988430545,1801.2492771567386,1801.2492771567386,1801.2492771567386,1801.2492771567386,1801.2492771567386,1783.2367843851712,1783.2367843851712,1783.2367843851712,1783.2367843851712,1783.2367843851712,1.0340978071990932e-05,3.673989080260358e-06,3.673989080260358e-06,624.6079408439572,624.6079408439572,6.853715398965742e-07,7.370674478098583e-06,7.370674478098583e-06,3.742149965814822e-06,1.7604661428133277e-06,7.835336125700641e-07,7.835336125700641e-07,63.937756253859874,63.937756253859874,4.468745788754923e-07,1.338662280999275e-06,1.338662280999275e-06,8.193280973758449e-07,-1.9999999968243607
1893.9036744195105,2.477204388664077e-07,1.1156658036286368e-12,1.1153815682357981e-12,2.696501239547343e-06,1.1141463231040499e-12,7262.586058384792,6281.046311564149,3983.544336969223,3949.220205199186,2499.9999988777963,2187.499998928446,1374.9999987916665,1374.9999988442007,1855.427787660458,1855.427787660458,1855.427787660458,1855.427787660458,1855.427787660458,1836.8735097838537,1836.8735097838537,1836.8735097838537,1836.8735097838537,1836.8735097838537,1.0367823787214856e-05,3.647192506407203e-06,3.647192506407203e-06,617.0118312066338,617.0118312066338,6.774260163245122e-07,7.3712412583467586e-06,7.3712412583467586e-06,3.7183087071623554e-06,1.7650364041417691e-06,7.778188388659165e-07,7.778188388659165e-07,63.160183356191396,63.160183356191396,4.4169395452759435e-07,1.3387652196250495e-06,1.3387652196250495e-06,8.14108153449044e-07,-1.999999997225533
1937.152528938675,2.475967444986673e-07,1.1156612143908499e-12,1.1153783336961054e-12,2.673715425829159e-06,1.1141909601970055e-12,7262.586058394746,6281.046311570042,3983.5443369770765,3949.220205205847,2499.9999988812233,2187.4999989304993,1374.9999987943775,1374.9999988465197,1942.069236378713,1942.069236378713,1942.069236378713,1942.069236378713,1942.069236378713,1922.648544014926,1922.648544014926,1922.648544014926,1922.648544014926,1922.648544014926,1.0401060703448682e-05,3.5683472891937598e-06,3.5683472891937598e-06,599.5138646792892,599.5138646792892,6.569366531962159e-07,7.348356091787255e-06,7.348356091787255e-06,3.648190636852354e-06,1.7706947145647428e-06,7.61003906575973e-07,7.61003906575973e-07,61.369010613091326,61.369010613091326,4.283345210465354e-07,1.3346088143777315e-06,1.3346088143777315e-06,7.987560950099612e-07,-1.9999999972880402
1841.5804657783617,2.4779836499996377e-07,1.1156665819221154e-12,1.1153811246667337e-12,2.6786285255776457e-06,1.1142115926507687e-12,7262.586058388907,6281.046311567454,3983.5443369704544,3949.22020520053,2499.999998879213,2187.4999989295975,1374.999998792092,1374.9999988446684,1861.5817274288152,1861.5817274288152,1861.5817274288152,1861.5817274288152,1861.5817274288152,1842.9659101545271,1842.9659101545271,1842.9659101545271,1842.9659101545271,1842.9659101545271,1.0399540978417566e-05,3.5337994911074045e-06,3.5337994911074045e-06,593.6718385295679,593.6718385295679,6.490409006810545e-07,7.329577829298917e-06,7.329577829298917e-06,3.617362766800533e-06,1.7704359938494273e-06,7.536360673196086e-07,7.536360673196086e-07,60.770993809967024,60.770993809967024,4.231863483082355e-07,1.3311983053174488e-06,1.3311983053174488e-06,7.920064616933498e-07,-1.9999999973376528
1446.7504961851043,2.479857654109676e-07,1.1156890909043357e-12,1.1153642476742319e-12,2.305463801753467e-06,1.1141814803198938e-12,7262.586058460327,6281.046311623199,3983.5443370160856,3949.220205243452,2499.9999989037974,2187.4999989490116,1374.9999988078425,1374.9999988596126,2202.887900154574,2202.887900154574,2202.887900154574,2202.887900154574,2202.887900154574,2180.859021153028,2180.859021153028,2180.859021153028,2180.859021153028,2180.859021153028,1.0339236716778453e-05,3.582979489551799e-06,3.582979489551799e-06,608.7726389686233,608.7726389686233,6.640685700083425e-07,7.321740866385287e-06,7.321740866385287e-06,3.6595075888321496e-06,1.7601696912883816e-06,7.641244440622182e-07,7.641244440622182e-07,62.316781550683096,62.316781550683096,4.3298465912719355e-07,1.3297749557836176e-06,1.3297749557836176e-06,8.01233894319072e-07,-1.9999999974594231
1053.4524688586996,2.4787480478104195e-07,1.115746939078377e-12,1.1153158626054326e-12,1.5788526600685096e-06,1.1142059397109898e-12,7262.586058552988,6281.046311704042,3983.5443371002807,3949.2202053219276,2499.9999989356943,2187.499998977167,1374.9999988369036,1374.9999988869354,2903.978711061026,2903.978711061026,2903.978711061026,2903.978711061026,2903.978711061026,2874.9389239504158,2874.9389239504158,2874.9389239504158,2874.9389239504158,2874.9389239504158,1.0265902432746881e-05,3.541537014643365e-06,3.541537014643365e-06,609.1912287924154,609.1912287924154,6.583814326431415e-07,7.260309500390337e-06,7.260309500390337e-06,3.6207807991814197e-06,1.747685134776113e-06,7.552862108781673e-07,7.552862108781673e-07,62.35963034009779,62.35963034009779,4.2927654316413434e-07,1.318617787826801e-06,1.318617787826801e-06,7.927548255126017e-07,-1.0351186461407167e-12
1119.40171371779,2.477886529662261e-07,1.1157230173092446e-12,1.1153149147714531e-12,1.1142840106783233e-06,1.1142013529406027e-12,7262.586058573047,6281.046311722523,3983.5443371356187,3949.220205352809,2499.9999989425996,2187.4999989836033,1374.9999988491015,1374.9999988976876,3590.8650933523813,3590.8650933523813,3590.8650933523813,3590.8650933523813,3590.8650933523813,3554.956442418858,3554.956442418858,3554.956442418858,3554.956442418858,3554.956442418858,1.0288415888079168e-05,3.548280083553763e-06,3.548280083553763e-06,608.0788149335777,608.0788149335777,6.588335139238551e-07,7.275706178930884e-06,7.275706178930884e-06,3.627180459001922e-06,1.751517864704012e-06,7.567242721001134e-07,7.567242721001134e-07,62.245758515055556,62.245758515055556,4.2957130831616255e-07,1.3214141334065437e-06,1.3214141334065437e-06,7.941560043106365e-07,-4.3072691361346337e-13
1744.5539036826517,2.4727617248452223e-07,1.1156419494166167e-12,1.1153210968703157e-12,9.347544003328522e-07,1.1141476150072215e-12,7262.5860585590535,6281.046311708608,3983.5443371359816,3949.220205350369,2499.999998937782,2187.499998978757,1374.9999988492266,1374.999998896838,4015.346037952943,4015.346037952943,4015.346037952943,4015.346037952943,4015.346037952943,3975.192577573413,3975.192577573413,3975.192577573413,3975.192577573413,3975.192577573413,1.0363240402235229e-05,3.640247058068457e-06,3.640247058068457e-06,616.2667291797028,616.2667291797028,6.761523099730841e-07,7.365259570045561e-06,7.365259570045561e-06,3.7122464631106774e-06,1.7642561207074653e-06,7.763376172301293e-07,7.763376172301293e-07,63.083911268267244,63.083911268267244,4.408634750816702e-07,1.3376788251067485e-06,1.3376788251067485e-06,8.127808504751308e-07,-9.534392523573118e-14
1819.9145216251386,2.471840732128708e-07,1.1156406139985597e-12,1.115313753019314e-12,1.1058486338485858e-06,1.1141272886508288e-12,7262.5860585547025,6281.046311704434,3983.5443371219885,3949.220205338416,2499.9999989362846,2187.499998977303,1374.9999988443967,1374.9999988926763,3569.256438781106,3569.256438781106,3569.256438781106,3569.256438781106,3569.256438781106,3533.5638743932955,3533.5638743932955,3533.5638743932955,3533.5638743932955,3533.5638743932955,1.0346243489694077e-05,3.679530893998433e-06,3.679530893998433e-06,624.9802582127417,624.9802582127417,6.865168408900543e-07,7.376726909863196e-06,7.376726909863196e-06,3.7478105266775317e-06,1.7613625367489688e-06,7.847154880052869e-07,7.847154880052869e-07,63.97586838087232,63.97586838087232,4.476213357581349e-07,1.3397615240088276e-06,1.3397615240088276e-06,8.205674535514675e-07,-1.1194312143396434e-13
1298.549763682983,2.478855140582192e-07,1.1156989578301868e-12,1.115322503773512e-12,1.8233110263418527e-06,1.1142393290095734e-12,7262.586058520733,6281.046311674154,3983.5443370653056,3949.2202052891685,2499.999998924591,2187.4999989667576,1374.9999988248314,1374.9999988755296,2649.3039436628083,2649.3039436628083,2649.3039436628083,2649.3039436628083,2649.3039436628083,2622.8109042261804,2622.8109042261804,2622.8109042261804,2622.8109042261804,2622.8109042261804,1.0329638089252003e-05,3.4851607203150466e-06,3.4851607203150466e-06,592.4263866805022,592.4263866805022,6.420180247960588e-07,7.265912812982312e-06,7.265912812982312e-06,3.5724672203407607e-06,1.758535603991346e-06,7.432631154746894e-07,7.432631154746894e-07,60.64350360123883,60.64350360123883,4.1860730680837323e-07,1.319635461685882e-06,1.319635461685882e-06,7.821767693877622e-07,-1.1296206604842966e-13
