# file...... LoadFlowResult_CASPA.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 50
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_power, measured_power_A, measured_power_B, measured_power_C
2004-01-18 00:00:00 PST,+2.837e+06-1.10208e-15d,+945667+2.20417e-16d,+945667-3.52667e-15d,+945667+0d
2004-01-18 00:10:00 PST,+101358-6.68747e-14d,+33786.1-1.17484e-16d,+33786.1-3.08472e-14d,+33786.1-1.69659e-13d
2004-01-18 00:20:00 PST,+101358-4.63189e-14d,+33786.1-1.44596e-16d,+33786.1-1.1105e-13d,+33786.1-2.77624e-14d
2004-01-18 00:30:00 PST,+101358+1.00816e-15d,+33786.1-6.02484e-17d,+33786.1+3.70166e-14d,+33786.1-3.39319e-14d
2004-01-18 00:40:00 PST,+101358-1.64277e-14d,+33786.1+7.2298e-17d,+33786.1-1.0488e-13d,+33786.1+5.55249e-14d
2004-01-18 00:50:00 PST,+101358+4.21367e-14d,+33786.1-6.32608e-17d,+33786.1+7.09485e-14d,+33786.1+5.55249e-14d
2004-01-18 01:00:00 PST,+101358-5.86227e-14d,+33786.1-3.91614e-17d,+33786.1-1.48066e-13d,+33786.1-2.77624e-14d
2004-01-18 01:10:00 PST,+138837-2.10026e-14d,+46278.9+4.8383e-17d,+46278.9+0d,+46278.9-6.30563e-14d
2004-01-18 01:20:00 PST,+138837+4.53627e-15d,+46278.9+9.6766e-17d,+46278.9+5.85522e-14d,+46278.9-4.50402e-14d
2004-01-18 01:30:00 PST,+138837-6.60223e-14d,+46278.9+1.09961e-16d,+46278.9-1.30617e-13d,+46278.9-6.75603e-14d
2004-01-18 01:40:00 PST,+138837-4.51428e-15d,+46278.9-3.07892e-17d,+46278.9-1.35121e-14d,+46278.9+0d
2004-01-18 01:50:00 PST,+138837-3.00209e-14d,+46278.9+1.75938e-17d,+46278.9-4.05362e-14d,+46278.9-4.95442e-14d
2004-01-18 02:00:00 PST,+138837+1.95614e-14d,+46278.9+1.31954e-16d,+46278.9+8.10723e-14d,+46278.9-2.25201e-14d
2004-01-18 02:10:00 PST,+152578-1.36239e-14d,+50859.2+1.12065e-16d,+50859.2+3.27871e-14d,+50859.2-7.37709e-14d
2004-01-18 02:20:00 PST,+152578+8.21812e-15d,+50859.2+6.40373e-17d,+50859.2-1.22952e-14d,+50859.2+3.68855e-14d
2004-01-18 02:30:00 PST,+152578+6.81463e-15d,+50859.2-4.8028e-17d,+50859.2+3.68855e-14d,+50859.2-1.63935e-14d
2004-01-18 02:40:00 PST,+152578+2.863e-14d,+50859.2-1.76103e-16d,+50859.2-2.86887e-14d,+50859.2+1.14755e-13d
2004-01-18 02:50:00 PST,+152578+2.19194e-14d,+50859.2+1.84107e-16d,+50859.2+4.50822e-14d,+50859.2+2.04919e-14d
2004-01-18 03:00:00 PST,+152578-2.45823e-14d,+50859.2+2.4014e-17d,+50859.2-4.09839e-15d,+50859.2-6.96726e-14d
2004-01-18 03:10:00 PST,+120772-5.8716e-14d,+40257.4-1.06183e-16d,+40257.4-8.80209e-14d,+40257.4-8.80209e-14d
2004-01-18 03:20:00 PST,+120772-5.3481e-14d,+40257.4+6.57325e-17d,+40257.4-5.69547e-14d,+40257.4-1.03554e-13d
2004-01-18 03:30:00 PST,+120772-1.67197e-15d,+40257.4+1.61803e-16d,+40257.4-4.65993e-14d,+40257.4+4.14216e-14d
2004-01-18 03:40:00 PST,+120772-5.34911e-14d,+40257.4+3.53944e-17d,+40257.4-7.76655e-14d,+40257.4-8.28432e-14d
2004-01-18 03:50:00 PST,+120772-1.72523e-14d,+40257.4+2.02254e-17d,+40257.4-3.10662e-14d,+40257.4-2.07108e-14d
2004-01-18 04:00:00 PST,+120772-6.39207e-14d,+40257.4-1.87085e-16d,+40257.4-1.29442e-13d,+40257.4-6.21324e-14d
2004-01-18 04:10:00 PST,+12332.5-180d,+4110.82+180d,+4110.82-180d,+4110.82-180d
2004-01-18 04:20:00 PST,+12332.5-180d,+4110.82+180d,+4110.82-180d,+4110.82-180d
2004-01-18 04:30:00 PST,+12332.5+180d,+4110.82+180d,+4110.82-180d,+4110.82+180d
2004-01-18 04:40:00 PST,+12332.5-180d,+4110.82+180d,+4110.82-180d,+4110.82-180d
