# file...... LoadFlowResult_CASPB.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 51
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_power, measured_power_A, measured_power_B, measured_power_C
2004-01-18 00:00:00 PST,+6.68735e+06+0.268395d,+2.22912e+06+0.268372d,+2.22912e+06+0.268486d,+2.22911e+06+0.268328d
2004-01-18 00:00:04 PST,+6.0056e+06+0.296522d,+2.00187e+06+0.296498d,+2.00187e+06+0.296611d,+2.00186e+06+0.296457d
2004-01-18 00:10:00 PST,+6.00598e+06+0.300549d,+2.002e+06+0.300524d,+2.002e+06+0.30064d,+2.00199e+06+0.300481d
2004-01-18 01:00:04 PST,+6.04347e+06+0.298814d,+2.01449e+06+0.29879d,+2.0145e+06+0.298906d,+2.01449e+06+0.298747d
2004-01-18 02:00:04 PST,+6.05722e+06+0.298184d,+2.01907e+06+0.298159d,+2.01908e+06+0.298275d,+2.01907e+06+0.298116d
2004-01-18 03:00:04 PST,+6.0254e+06+0.299647d,+2.00847e+06+0.299623d,+2.00847e+06+0.299739d,+2.00846e+06+0.29958d
2004-01-18 04:00:04 PST,+5.89226e+06+0.305946d,+1.96409e+06+0.305922d,+1.96409e+06+0.306037d,+1.96408e+06+0.30588d
2004-01-18 05:00:04 PST,+5.75911e+06+0.312539d,+1.9197e+06+0.312515d,+1.91971e+06+0.31263d,+1.9197e+06+0.312473d
2004-01-18 06:00:04 PST,+5.74184e+06+0.313417d,+1.91395e+06+0.313393d,+1.91395e+06+0.313508d,+1.91394e+06+0.313351d
2004-01-18 07:00:04 PST,+5.76414e+06+0.312285d,+1.92138e+06+0.31226d,+1.92138e+06+0.312375d,+1.92137e+06+0.312219d
2004-01-18 08:00:04 PST,+5.79706e+06+0.310629d,+1.93235e+06+0.310605d,+1.93236e+06+0.31072d,+1.93235e+06+0.310563d
2004-01-18 09:00:04 PST,+5.65904e+06+0.3177d,+1.88635e+06+0.317676d,+1.88635e+06+0.31779d,+1.88634e+06+0.317634d
2004-01-18 10:00:04 PST,+5.6709e+06+0.317079d,+1.8903e+06+0.317055d,+1.8903e+06+0.317169d,+1.89029e+06+0.317013d
2004-01-18 11:00:04 PST,+5.66922e+06+0.317167d,+1.88974e+06+0.317143d,+1.88974e+06+0.317257d,+1.88973e+06+0.317101d
2004-01-18 12:00:04 PST,+5.7368e+06+0.313674d,+1.91227e+06+0.31365d,+1.91227e+06+0.313765d,+1.91226e+06+0.313608d
2004-01-18 13:00:04 PST,+5.87511e+06+0.306779d,+1.95837e+06+0.306754d,+1.95837e+06+0.30687d,+1.95836e+06+0.306712d
2004-01-18 14:00:04 PST,+5.74496e+06+0.313258d,+1.91499e+06+0.313234d,+1.91499e+06+0.313349d,+1.91498e+06+0.313192d
2004-01-18 15:00:04 PST,+5.95404e+06+0.302988d,+1.98468e+06+0.302964d,+1.98468e+06+0.30308d,+1.98467e+06+0.302921d
2004-01-18 16:00:04 PST,+5.98734e+06+0.301419d,+1.99578e+06+0.301395d,+1.99579e+06+0.30151d,+1.99578e+06+0.301352d
2004-01-18 17:00:04 PST,+5.91676e+06+0.304766d,+1.97225e+06+0.304741d,+1.97226e+06+0.304857d,+1.97225e+06+0.304699d
2004-01-18 18:00:04 PST,+5.95699e+06+0.302848d,+1.98567e+06+0.302824d,+1.98567e+06+0.30294d,+1.98566e+06+0.302781d
2004-01-18 19:00:04 PST,+6.00993e+06+0.300365d,+2.00331e+06+0.30034d,+2.00331e+06+0.300456d,+2.00331e+06+0.300298d
2004-01-18 20:00:04 PST,+5.95306e+06+0.303035d,+1.98435e+06+0.30301d,+1.98436e+06+0.303126d,+1.98435e+06+0.302968d
2004-01-18 21:00:04 PST,+5.92482e+06+0.304379d,+1.97494e+06+0.304355d,+1.97495e+06+0.30447d,+1.97494e+06+0.304312d
2004-01-18 22:00:04 PST,+5.89667e+06+0.305733d,+1.96556e+06+0.305709d,+1.96556e+06+0.305824d,+1.96555e+06+0.305666d
