# file...... LoadFlowResult_ECSSA.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 52
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_power, measured_power_A, measured_power_B, measured_power_C
2004-01-18 00:00:00 PST,+4.78338e+06+0.339029d,+1.59446e+06+0.339028d,+1.59446e+06+0.339006d,+1.59446e+06+0.339053d
2004-01-18 00:10:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 00:20:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 00:30:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 00:40:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 00:50:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 01:00:00 PST,+4.45798e+06+0.303035d,+1.48599e+06+0.303035d,+1.48599e+06+0.303016d,+1.486e+06+0.303055d
2004-01-18 01:10:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 01:20:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 01:30:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 01:40:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 01:50:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 02:00:00 PST,+4.45895e+06+0.303146d,+1.48631e+06+0.303146d,+1.48631e+06+0.303127d,+1.48632e+06+0.303166d
2004-01-18 02:10:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 02:20:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 02:30:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 02:40:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 02:50:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 03:00:00 PST,+4.4593e+06+0.303187d,+1.48643e+06+0.303186d,+1.48643e+06+0.303168d,+1.48643e+06+0.303207d
2004-01-18 03:10:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 03:20:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 03:30:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 03:40:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 03:50:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 04:00:00 PST,+4.45848e+06+0.303093d,+1.48616e+06+0.303092d,+1.48616e+06+0.303074d,+1.48616e+06+0.303112d
2004-01-18 04:10:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 04:20:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 04:30:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 04:40:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 04:50:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 05:00:00 PST,+4.45506e+06+0.302699d,+1.48502e+06+0.302698d,+1.48502e+06+0.30268d,+1.48502e+06+0.302718d
2004-01-18 05:10:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 05:20:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 05:30:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 05:40:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 05:50:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 06:00:00 PST,+4.45165e+06+0.302305d,+1.48388e+06+0.302305d,+1.48388e+06+0.302286d,+1.48388e+06+0.302325d
2004-01-18 06:10:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 06:20:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 06:30:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 06:40:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 06:50:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 07:00:00 PST,+4.4512e+06+0.302254d,+1.48373e+06+0.302254d,+1.48373e+06+0.302235d,+1.48374e+06+0.302274d
2004-01-18 07:10:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 07:20:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 07:30:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 07:40:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 07:50:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 08:00:00 PST,+4.45178e+06+0.30232d,+1.48392e+06+0.302319d,+1.48393e+06+0.302301d,+1.48393e+06+0.30234d
2004-01-18 08:10:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 08:20:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 08:30:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 08:40:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 08:50:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 09:00:00 PST,+4.45262e+06+0.302417d,+1.48421e+06+0.302417d,+1.48421e+06+0.302398d,+1.48421e+06+0.302437d
2004-01-18 09:10:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 09:20:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 09:30:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 09:40:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 09:50:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 10:00:00 PST,+4.44908e+06+0.30201d,+1.48303e+06+0.302009d,+1.48303e+06+0.301991d,+1.48303e+06+0.302029d
2004-01-18 10:10:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 10:20:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 10:30:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 10:40:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 10:50:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 11:00:00 PST,+4.44938e+06+0.302045d,+1.48313e+06+0.302044d,+1.48313e+06+0.302026d,+1.48313e+06+0.302064d
2004-01-18 11:10:00 PST,+4.44934e+06+0.30204d,+1.48311e+06+0.302039d,+1.48311e+06+0.302021d,+1.48311e+06+0.302059d
2004-01-18 11:20:00 PST,+4.44934e+06+0.30204d,+1.48311e+06+0.302039d,+1.48311e+06+0.302021d,+1.48311e+06+0.302059d
