# file...... LoadFlowResult_ECSSB.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 54
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_power, measured_power_A, measured_power_B, measured_power_C
2004-01-18 00:00:00 PST,+1.87103e+06+0.999005d,+623677+0.999001d,+623677+0.99898d,+623678+0.999034d
2004-01-18 00:10:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 00:20:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 00:30:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 00:40:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 00:50:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 01:00:00 PST,+1.51309e+06+1.15363d,+504363+1.15362d,+504363+1.1536d,+504364+1.15365d
2004-01-18 01:10:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 01:20:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 01:30:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 01:40:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 01:50:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 02:00:00 PST,+1.5159e+06+1.15195d,+505301+1.15195d,+505301+1.15193d,+505302+1.15198d
2004-01-18 02:10:00 PST,+1.51693e+06+1.15134d,+505645+1.15134d,+505645+1.15132d,+505645+1.15137d
2004-01-18 02:20:00 PST,+1.51693e+06+1.15134d,+505645+1.15134d,+505645+1.15132d,+505645+1.15137d
2004-01-18 02:30:00 PST,+1.51693e+06+1.15134d,+505645+1.15134d,+505645+1.15132d,+505645+1.15137d
