# output_current.csv run at 2017-07-18 00:00:00 PDT on 2948 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
Switch_TUR115_swing,119.115386,-1.470268,-60.830982,-102.421816,-58.284404,103.892084
Switch_SPU125_swing,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
Switch_SPU122_swing,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
Switch_SPU124_swing,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
Switch_TUR117_swing,19.032661,23.284689,15.086141,-20.555685,-25.090347,-2.635047
Switch_TUR111_swing,199.754923,-53.677991,-146.363965,-146.153841,-53.390956,199.831833
Switch_TVW131_swing,133.664982,-1.087555,-67.735686,-115.189011,-65.886232,116.260788
recloser_Breaker Recloser_TUR115_1,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840060
recloser_Breaker Recloser_TUR115_2,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
recloser_Breaker Recloser_TUR115_3,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
recloser_392-93179,119.115386,-1.470268,-60.830982,-102.421816,-58.284404,103.892084
recloser_Breaker Recloser_SPU125_1,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
recloser_Breaker Recloser_SPU125_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
recloser_Breaker Recloser_SPU125_3,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
recloser_Breaker Recloser_SPU125_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
recloser_392-31703,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
recloser_392-15406,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
recloser_392-30742,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
recloser_Breaker Recloser_TUR117_1,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
recloser_Breaker Recloser_TUR117_2,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
recloser_392-93181,19.032661,23.284689,15.086141,-20.555685,-25.090347,-2.635047
