# output_voltage.csv run at 2004-01-18 00:00:00 PST on 2945 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
swing_bus,7970.000000,0.000000,-3985.000000,-6902.222468,-3985.000000,6902.222468
Node_Solar_link,7687.446051,-23.165854,-3857.628160,-6658.795233,-3812.901407,6621.986681
TUR115,7969.994118,0.006029,-3984.991837,-6902.220389,-3985.002280,6902.214359
SPU125,7969.986329,0.015258,-3984.979950,-6902.218258,-3985.006373,6902.203004
SPU122,7969.994283,0.002142,-3984.995287,-6902.218588,-3984.998996,6902.216446
SPU124,7969.990089,0.010375,-3984.986062,-6902.219064,-3985.004025,6902.208704
TUR117,7969.997884,-0.000213,-3984.999727,-6902.220686,-3984.998614,6902.221345
TUR111,7969.993199,0.012144,-3984.986082,-6902.222651,-3985.007117,6902.210506
TVW131,7969.999487,0.000513,-3984.999299,-6902.222281,-3985.000188,6902.221767
CASPA,2455.589614,-30.309888,-1254.043940,-2111.448043,-1201.545674,2141.757932
CASPB,2421.688109,-121.448578,-1316.012237,-2036.468954,-1106.336550,2158.345631
ECSSA,2476.620841,-41.280201,-1274.127403,-2124.077452,-1202.415989,2165.385498
GWSP-A,2485.698673,-31.539395,-1270.231981,-2136.809541,-1215.391422,2168.378387
ECSSB,2504.493134,-17.186990,-1267.132179,-2160.328947,-1237.273449,2177.507276
GWSP-B,2524.947027,5.412990,-1257.787829,-2189.342296,-1267.073177,2183.922701
390-174458,7799.728689,-78.075228,-3967.479476,-6715.725573,-3832.249214,6793.800802
390-59548,7797.525115,-85.462518,-3972.775269,-6710.123578,-3824.749847,6795.586095
390-66586,7797.821251,-84.349277,-3971.959243,-6710.936659,-3825.862009,6795.285937
392-106295,2455.608629,-30.329378,-1254.070327,-2111.454766,-1201.538303,2141.784144
392-106314,2455.608629,-30.329378,-1254.070327,-2111.454766,-1201.538303,2141.784144
392-89656,7799.728689,-78.075228,-3967.479476,-6715.725573,-3832.249214,6793.800802
392-96374,7799.384307,-79.191368,-3968.273890,-6714.869259,-3831.110417,6794.060627
392-96694,7800.489007,-75.553606,-3965.675846,-6717.644839,-3834.813162,6793.198446
396-153620,7822.370806,-3.007884,-3913.790307,-6772.867894,-3908.580499,6775.875778
396-67859,2456.938656,-28.212342,-1252.901933,-2113.665121,-1204.036724,2141.877463
396-83540,2455.761964,-30.079492,-1253.930586,-2111.712500,-1201.831378,2141.791993
402-1375942,7799.706244,-78.149667,-3967.532719,-6715.668917,-3832.173526,6793.818583
