E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
41,2019-11-14 04:13:25.813164,20191113T200000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813170,20191113T200000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813173,20191113T200000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813175,20191113T200000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813230,20191113T210000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813235,20191113T210000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813239,20191113T210000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813241,20191113T210000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813295,20191113T220000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813301,20191113T220000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813305,20191113T220000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813307,20191113T220000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813360,20191113T230000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813366,20191113T230000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813370,20191113T230000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813372,20191113T230000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813425,20191114T000000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813431,20191114T000000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813435,20191114T000000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813437,20191114T000000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813490,20191114T010000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813496,20191114T010000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813500,20191114T010000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813502,20191114T010000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813556,20191114T020000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813561,20191114T020000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813565,20191114T020000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813567,20191114T020000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813621,20191114T030000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813627,20191114T030000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
